
Nsteps, niter , k , lambda, cotxes ,distancia ,solucio, temps 

150000 , 10 , 5 , 0.0126, 64 , 1709.1 , true ,800.0

150000 , 10 , 5 , 0.0151, 65 , 1733.1 , false ,684.0

150000 , 10 , 5 , 0.0176, 65 , 1680.9 , true ,573.0

150000 , 10 , 5 , 0.0201, 66 , 1742.0 , true ,504.0

150000 , 10 , 5 , 0.0226, 65 , 1682.8 , true ,462.0

150000 , 10 , 5 , 0.0251, 66 , 1733.1 , true ,421.0

150000 , 10 , 5 , 0.0276, 66 , 1724.4 , false ,366.0

150000 , 10 , 5 , 0.0301, 67 , 1733.8 , false ,329.0

150000 , 10 , 5 , 0.0326, 68 , 1718.5 , false ,303.0

150000 , 10 , 5 , 0.0351, 66 , 1741.7 , false ,290.0

150000 , 10 , 5 , 0.0376, 69 , 1783.0 , false ,261.0

150000 , 10 , 5 , 0.0401, 68 , 1757.9 , true ,248.0

150000 , 10 , 5 , 0.0426, 68 , 1745.8 , false ,233.0

150000 , 10 , 5 , 0.0451, 68 , 1784.2 , false ,212.0

150000 , 10 , 5 , 0.0476, 67 , 1733.5 , false ,207.0

175000 , 10 , 5 , 0.0001, 61 , 1613.6 , false ,2658.0

175000 , 10 , 5 , 0.0026, 62 , 1632.9 , true ,2885.0

175000 , 10 , 5 , 0.0051, 61 , 1638.7 , true ,2264.0

175000 , 10 , 5 , 0.0076, 61 , 1669.7 , true ,1454.0

175000 , 10 , 5 , 0.0101, 63 , 1659.7 , true ,1262.0

175000 , 10 , 5 , 0.0126, 63 , 1676.9 , false ,881.0

175000 , 10 , 5 , 0.0151, 63 , 1605.2 , true ,746.0

175000 , 10 , 5 , 0.0176, 63 , 1692.2 , true ,626.0

175000 , 10 , 5 , 0.0201, 65 , 1672.4 , false ,527.0

175000 , 10 , 5 , 0.0226, 64 , 1694.2 , false ,464.0

175000 , 10 , 5 , 0.0251, 67 , 1709.2 , true ,428.0

175000 , 10 , 5 , 0.0276, 63 , 1663.7 , false ,431.0

175000 , 10 , 5 , 0.0301, 69 , 1739.3 , false ,363.0

175000 , 10 , 5 , 0.0326, 65 , 1746.2 , false ,342.0

175000 , 10 , 5 , 0.0351, 68 , 1766.7 , false ,308.0

175000 , 10 , 5 , 0.0376, 66 , 1698.7 , false ,270.0

175000 , 10 , 5 , 0.0401, 67 , 1687.9 , false ,256.0

175000 , 10 , 5 , 0.0426, 68 , 1756.7 , false ,339.0

175000 , 10 , 5 , 0.0451, 69 , 1814.2 , false ,282.0

175000 , 10 , 5 , 0.0476, 69 , 1725.7 , false ,238.0

200000 , 10 , 5 , 0.0001, 60 , 1597.2 , true ,3117.0

200000 , 10 , 5 , 0.0026, 60 , 1582.1 , true ,3398.0

200000 , 10 , 5 , 0.0051, 60 , 1631.9 , true ,2391.0

200000 , 10 , 5 , 0.0076, 60 , 1583.7 , false ,1427.0

200000 , 10 , 5 , 0.0101, 63 , 1641.1 , true ,1041.0

200000 , 10 , 5 , 0.0126, 65 , 1733.0 , true ,826.0

200000 , 10 , 5 , 0.0151, 63 , 1672.4 , false ,743.0

200000 , 10 , 5 , 0.0176, 63 , 1702.0 , true ,626.0

200000 , 10 , 5 , 0.0201, 65 , 1704.1 , true ,520.0

200000 , 10 , 5 , 0.0226, 65 , 1692.4 , false ,440.0

200000 , 10 , 5 , 0.0251, 67 , 1724.8 , true ,399.0

200000 , 10 , 5 , 0.0276, 66 , 1697.1 , false ,363.0

200000 , 10 , 5 , 0.0301, 67 , 1750.7 , false ,338.0

200000 , 10 , 5 , 0.0326, 66 , 1702.5 , true ,312.0

200000 , 10 , 5 , 0.0351, 68 , 1771.2 , false ,302.0

200000 , 10 , 5 , 0.0376, 67 , 1728.1 , false ,277.0

200000 , 10 , 5 , 0.0401, 66 , 1740.8 , false ,251.0

200000 , 10 , 5 , 0.0426, 68 , 1762.8 , false ,224.0

200000 , 10 , 5 , 0.0451, 69 , 1772.0 , true ,221.0

200000 , 10 , 5 , 0.0476, 69 , 1748.2 , true ,204.0

225000 , 10 , 5 , 0.0001, 59 , 1583.6 , true ,3492.0

225000 , 10 , 5 , 0.0026, 61 , 1630.0 , true ,3914.0

225000 , 10 , 5 , 0.0051, 61 , 1591.0 , true ,2245.0

225000 , 10 , 5 , 0.0076, 61 , 1646.1 , true ,1489.0

225000 , 10 , 5 , 0.0101, 63 , 1690.1 , true ,1091.0

225000 , 10 , 5 , 0.0126, 64 , 1691.1 , true ,916.0

225000 , 10 , 5 , 0.0151, 64 , 1708.9 , false ,706.0

225000 , 10 , 5 , 0.0176, 66 , 1722.7 , false ,858.0

225000 , 10 , 5 , 0.0201, 66 , 1732.6 , false ,587.0

225000 , 10 , 5 , 0.0226, 64 , 1719.3 , false ,467.0

225000 , 10 , 5 , 0.0251, 65 , 1714.8 , false ,419.0

225000 , 10 , 5 , 0.0276, 62 , 1678.7 , false ,373.0

225000 , 10 , 5 , 0.0301, 65 , 1667.4 , true ,339.0

225000 , 10 , 5 , 0.0326, 64 , 1701.1 , false ,315.0

225000 , 10 , 5 , 0.0351, 68 , 1761.8 , true ,290.0

225000 , 10 , 5 , 0.0376, 62 , 1642.1 , true ,313.0

225000 , 10 , 5 , 0.0401, 68 , 1757.6 , false ,271.0

225000 , 10 , 5 , 0.0426, 68 , 1813.0 , false ,298.0

225000 , 10 , 5 , 0.0451, 67 , 1805.2 , false ,509.0

225000 , 10 , 5 , 0.0476, 68 , 1732.9 , true ,333.0
